Sample,C,N,S,M,Normal
cervix_cancer_hela_1,0.784451409262878,0.0918288530994751,-0.267364634437824,-0.494024729883585,cancer
skin_cancer_m14_3,-1.07385438229243,0.0577999421079207,0.648554500325673,0.849642001844817,cancer
lung_normal_human_bronchial_epithelial_cell_pellet_1,0.460755907079462,-1.23852951736705,1.81683766255782,1.32138397546739,normal
lung_normal_human_bronchial_epithelial_cell_pellet_2,1.19077953532678,-0.953028085569229,0.561332069986478,0.736339739958216,normal
breast_cancer_t47d_2,-0.273480383105915,0.0822531579091721,0.359672099049862,0.634775825329509,cancer
breast_cancer_mda_mb_231_1,0.0605840985276434,0.148193584090936,0.0219735769060687,0.388991607090468,cancer
breast_cancer_mda_mb_231_3,-0.276006559446189,0.120411595579864,0.369047049626811,0.367428021742058,cancer
blood_cancer_thp_1_2,0.983296603252241,0.0825979410153614,-0.690660045988627,-0.732729867521703,cancer
blood_cancer_thp_1_3,1.07164992496848,-0.0853659353294649,-0.532575752299893,-1.16105854309797,cancer
pool_1,0.162550759581274,0.0715974442917307,0.462479485292016,0.467788023582598,cancer
cervix_cancer_si_ha_2,0.481769333069546,0.0489433089546663,0.146660913172779,-0.04759933591194,cancer
blood_cancer_hl60_1,0.527870697796175,0.128701398279717,-0.565373421183585,-0.656278812061355,cancer
blood_cancer_hl60_2,0.508700530047628,0.210420720416149,-0.691499930144623,-0.643581067029994,cancer
blood_cancer_kbm7_4,0.234168284364528,0.313679433308123,-0.426723492507199,0.059145482982224,cancer
blood_cancer_kbm7_5,0.353324510587903,0.320172424610491,-0.998317796260535,-0.977900292305829,cancer
skin_cancer_a375_1,-1.34346391275725,0.190485967147472,-0.233000853132088,0.67426349381533,cancer
skin_cancer_a375_2,-1.03874350337497,0.23161388733531,-0.48287997231599,0.703025220158761,cancer
lung_cancer_h522_1,-0.199265521362102,0.540382453852923,-1.20160242808403,-1.05765716819307,cancer
lung_cancer_h522_2,-0.22977144073773,0.522168076424866,-1.15976473125785,-0.898623307044073,cancer
colon_cancer_ht29_1,-0.672008353719869,0.198045209920817,-0.0172313661053045,0.283367913861795,cancer
colon_cancer_ht29_2,-0.594487166082003,0.258638310232385,-0.0367508610546072,0.0783425113983665,cancer
prostate_cancer_pc3_1,-0.121054024180712,0.40907115478926,-0.914355524269854,-0.518583400276372,cancer
prostate_cancer_pc3_2,-0.0992378091768785,0.408953823251963,-1.1795164572524,-0.875954825446496,cancer
cervix_cancer_si_ha_1,0.552399438630502,0.0463486961800204,0.152702971293746,-0.0688686998965831,cancer
lung_cancer_h1437_1,-0.206896957212489,0.292813869044797,-0.767803867650437,-0.879772194150188,cancer
lung_cancer_h1437_2,0.0980807693042777,0.235492982184188,-0.761142848278499,-0.382947360598368,cancer
breast_cancer_bt549_2,0.647847412913445,0.0833387955649103,0.129465279928962,0.268331456952913,cancer
breast_cancer_bt549_3,0.662165113476484,-0.00494555483646808,0.279394746611992,0.262936785688388,cancer
brain_normal_human_astrocyte_cell_pellet_1,1.12051031143671,-0.977996265356162,0.470944719510162,0.493140984568621,normal
cervix_cancer_hela_3,0.844970878195624,-0.0132839375532439,-0.272780333953258,-0.310686635713209,cancer
skin_normal_human_epidermal_melanocyte_adult_cell_pellet_1,-0.223590466439154,0.403826814345231,0.252228968221876,-0.0788860901729631,normal
skin_normal_human_epidermal_melanocyte_adult_cell_pellet_2,-0.0650206905766094,0.293277565516099,-0.083794996160127,0.821966455686298,normal
skin_cancer_sk_mel_103_2,-0.650778818241672,0.157190132735691,0.0511275676725238,0.146102441367146,cancer
