Uniprot	description	markers	svm	svm.scores	final.assignment
P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1 - [RLA2_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3 - [G3P_HUMAN]	unknown	PROTEASOME	0.482550538	unknown
P60903	Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2 - [S10AA_HUMAN]	unknown	PM	0.469502864	unknown
P57105	Synaptojanin-2-binding protein OS=Homo sapiens GN=SYNJ2BP PE=1 SV=2 - [SYJ2B_HUMAN]	unknown	MITOCHONDRION	0.924783257	MITOCHONDRION
P21964-2	Isoform Soluble of Catechol O-methyltransferase OS=Homo sapiens GN=COMT - [COMT_HUMAN]	unknown	ER	0.919557983	unknown
P60174-1	Isoform 2 of Triosephosphate isomerase OS=Homo sapiens GN=TPI1 - [TPIS_HUMAN]	unknown	CYTOSOL	0.91965257	CYTOSOL
P08670	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN]	unknown	NUCLEUS	0.698046966	NUCLEUS
Q9Y2Q5	Ragulator complex protein LAMTOR2 OS=Homo sapiens GN=LAMTOR2 PE=1 SV=1 - [LTOR2_HUMAN]	unknown	LYSOSOME	0.808044655	LYSOSOME
P35232	Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1 - [PHB_HUMAN]	unknown	MITOCHONDRION	0.953191851	MITOCHONDRION
P84157	Matrix-remodeling-associated protein 7 OS=Homo sapiens GN=MXRA7 PE=1 SV=1 - [MXRA7_HUMAN]	unknown	ER	0.856101301	unknown
Q04695	Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2 - [K1C17_HUMAN]	unknown	NUCLEUS	0.714518486	NUCLEUS
P09211	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2 - [GSTP1_HUMAN]	unknown	CYTOSOL	0.910355029	CYTOSOL
P04792	Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2 - [HSPB1_HUMAN]	unknown	CYTOSOL	0.594447055	unknown
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN]	unknown	NUCLEUS	0.800657243	NUCLEUS
P62312	U6 snRNA-associated Sm-like protein LSm6 OS=Homo sapiens GN=LSM6 PE=1 SV=1 - [LSM6_HUMAN]	unknown	NUCLEUS	0.921759151	NUCLEUS
P62820	Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3 - [RAB1A_HUMAN]	unknown	PM	0.84002263	PM
P49006	MARCKS-related protein OS=Homo sapiens GN=MARCKSL1 PE=1 SV=2 - [MRP_HUMAN]	unknown	PM	0.825723025	unknown
Q9Y333	U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens GN=LSM2 PE=1 SV=1 - [LSM2_HUMAN]	unknown	NUCLEUS	0.812415025	NUCLEUS
O75506	Heat shock factor-binding protein 1 OS=Homo sapiens GN=HSBP1 PE=1 SV=1 - [HSBP1_HUMAN]	unknown	PROTEASOME	0.57448387	unknown
Q99714	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3 - [HCD2_HUMAN]	unknown	MITOCHONDRION	0.956101019	MITOCHONDRION
Q9H0U4	Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1 - [RAB1B_HUMAN]	unknown	PM	0.799000383	unknown
P37802	Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3 - [TAGL2_HUMAN]	unknown	CYTOSOL	0.756661582	unknown
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]	unknown	MITOCHONDRION	0.958040765	MITOCHONDRION
O95777	U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens GN=LSM8 PE=1 SV=3 - [LSM8_HUMAN]	unknown	NUCLEUS	0.87247527	NUCLEUS
P61604	10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2 - [CH10_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2 - [ALDOA_HUMAN]	unknown	PROTEASOME	0.277509868	unknown
P08758	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2 - [ANXA5_HUMAN]	unknown	CYTOSOL	0.908001162	CYTOSOL
P61106	Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4 - [RAB14_HUMAN]	unknown	PM	0.777407428	unknown
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4 - [TERA_HUMAN]	unknown	PM	0.402958815	unknown
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2 - [AHNK_HUMAN]	unknown	ER	0.50514618	unknown
P23396	40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2 - [RS3_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5 - [CO1A1_HUMAN]	unknown	PM	0.788559694	unknown
Q9NPE3	H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens GN=NOP10 PE=1 SV=1 - [NOP10_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
